Ticker,MICROSOFT CORPORATION (XNAS:MSFT),"Microsoft Corporation is a technology company. The Company develops and supports software, services, devices, and solutions. The Company’s segments include Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment consists of products and services in its portfolio of productivity, communication, and information services. This segment primarily comprises: Office Commercial, Office Consumer, LinkedIn, and Dynamics business solutions. The Intelligent Cloud segment consists of server products and cloud services, including Azure and other cloud services, SQL Server, Windows Server, Visual Studio, System Center, and related Client Access Licenses (CALs), and Nuance and GitHub; and Enterprise Services, including enterprise support services, industry solutions and Nuance professional services. The More Personal Computing segment primarily comprises Windows, Devices, Gaming, and search and news advertising.",MICROSOFT CORPORATION,,,,,,,,,,,
End Date,27/02/2026,,Variance log-returns (daily),0.000287076,,T,1,,u,1.088777,,,,
Lookback,10,,StDev log-returns (daily),0.016943329,,N time steps,10,,d,0.918462,,,,
Start Date,01/03/2016,,No. of obs.,252,,dt,0.1,,r,0.038,,,,
Frequency,0,,StDev (annualized),0.268967007,,,,,q,0.501103,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Closing price,Log-returns,,,,,,,,,,,,
01/03/2016, $52.58 ,,,,,,,,,,,,,
02/03/2016, $52.95 ,0.007012253,,,,,,,,,,,,
03/03/2016, $52.35 ,-0.011396135,,,,,,,,,,,,
04/03/2016, $52.03 ,-0.006131462,,,,,,,,,,,,
07/03/2016, $51.03 ,-0.01940678,,Q2,,,,,,,,,,
08/03/2016, $51.65 ,0.0120765,,,,,,,,,,,,
09/03/2016, $52.84 ,0.022778284,,,,,,,,,,,,
10/03/2016, $52.05 ,-0.015063685,,Time,,,,,,,,,,
11/03/2016, $53.07 ,0.019407002,,0,1,2,3,4,5,6,7,8,9,10
14/03/2016, $53.17 ,0.001882531,,,,,,,,,,,,919.38
15/03/2016, $53.59 ,0.007868156,,,,,,,,,,,844.41,
16/03/2016, $54.35 ,0.01408213,,,,,,,,,,775.56,,775.56
17/03/2016, $54.66 ,0.005687567,,,,,,,,,712.32,,712.32,
18/03/2016, $53.49 ,-0.02163746,,,,,,,,654.24,,654.24,,654.24
21/03/2016, $53.86 ,0.006893367,,,,,,,600.90,,600.90,,600.90,
22/03/2016, $54.07 ,0.003891416,,,,,,551.90,,551.90,,551.90,,551.90
23/03/2016, $53.97 ,-0.001851167,,,,,506.90,,506.90,,506.90,,506.90,
24/03/2016, $54.21 ,0.004437057,,,,465.57,,465.57,,465.57,,465.57,,465.57
28/03/2016, $53.54 ,-0.012436355,,,427.61,,427.61,,427.61,,427.61,,427.61,
29/03/2016, $54.71 ,0.02161747,,392.74,,392.74,,392.74,,392.74,,392.74,,392.74
30/03/2016, $55.05 ,0.006195355,,,360.72,,360.72,,360.72,,360.72,,360.72,
31/03/2016, $55.23 ,0.003264421,,,,331.30,,331.30,,331.30,,331.30,,331.30
01/04/2016, $55.57 ,0.006137203,,,,,304.29,,304.29,,304.29,,304.29,
04/04/2016, $55.43 ,-0.002522524,,,,,,279.48,,279.48,,279.48,,279.48
05/04/2016, $54.56 ,-0.01581995,,,,,,,256.69,,256.69,,256.69,
06/04/2016, $55.12 ,0.010211613,,,,,,,,235.76,,235.76,,235.76
07/04/2016, $54.46 ,-0.012046139,,,,,,,,,216.54,,216.54,
08/04/2016, $54.42 ,-0.000734754,,,,,,,,,,198.88,,198.88
11/04/2016, $54.31 ,-0.002023361,,,,,,,,,,,182.67,
12/04/2016, $54.65 ,0.006240843,,,,,,,,,,,,167.77
13/04/2016, $55.35 ,0.012727445,,,,,,,,,,,,
14/04/2016, $55.36 ,0.000180652,,,,,,,,,,,,
15/04/2016, $55.65 ,0.005224766,,,,,,,,,,,,
18/04/2016, $56.46 ,0.014450345,,,,,,,,,,,,
19/04/2016, $56.39 ,-0.001240585,,Q3,,,,,,,,,,
20/04/2016, $55.59 ,-0.014288509,,ratio,105%,,,,,,,,,
21/04/2016, $55.78 ,0.003412053,,Strike price,412.377,,,,,,,,,
22/04/2016, $51.78 ,-0.074411408,,discount factor,0.996207211,,,,,,,,,
25/04/2016, $52.11 ,0.006352895,,,,,,,,,,,,
26/04/2016, $51.44 ,-0.012940789,,Time,,,,,,,,,,
27/04/2016, $50.94 ,-0.00976761,,0,1,2,3,4,5,6,7,8,9,10
28/04/2016, $49.90 ,-0.020627467,,,,,,,,,,,,0.00
29/04/2016, $49.87 ,-0.000601383,,,,,,,,,,,0.00,
02/05/2016, $50.61 ,0.014729566,,,,,,,,,,0.00,,0.00
03/05/2016, $49.78 ,-0.016535888,,,,,,,,,0.00,,0.00,
04/05/2016, $49.87 ,0.001806323,,,,,,,,0.00,,0.00,,0.00
